1,1,,,1,,,1,,,,,1
2,1,,,1,,,1,,,,,1
3,1,,,1,,,1,,,,,1
4,1,,,1,,,1,,,,,1
5,1,,,1,,,1,,,,,1
6,1,,,1,,,1,,,,,1
7,1,,,,,,,,,,,1
8,1,,,,,,,,,,,1
9,1,,,1,,,1,,,,,1
10,1,,,1,,,1,,,,,1
11,1,,,1,,,1,,,,,1
12,1,,,1,,,1,,,,,1
15,1,,,1,,,1,,,,,1
16,1,,,1,,,1,,,,,1
17,1,,,1,,,1,,,,,1
18,1,,,1,,,1,,,,,1
20,2,2,,2,2,2,2,,,,2,2
21,2,2,,2,2,2,2,,,,2,2
22,2,2,,2,2,2,2,,,,2,2
30,3,3,3,3,3,3,3,,,3,3,3
31,3,3,3,3,3,3,3,,,3,3,3
32,3,3,3,3,3,3,3,,,3,3,3
33,3,3,3,3,3,3,3,,,3,3,3
34,3,3,3,4,4,4,4,,,3,3,3
35,3,3,3,4,4,4,4,,,3,3,3
36,4,4,4,4,4,4,4,,,4,4,4
37,4,4,4,4,4,4,4,,,4,4,4
38,4,4,4,4,4,4,4,,,4,4,4
39,4,4,4,4,4,4,4,,,4,4,4
40,4,4,4,4,4,4,4,,,4,4,4
41,4,4,4,4,4,4,4,,,4,4,4
42,4,4,4,4,4,4,4,,,4,4,4
43,4,4,4,4,4,4,4,,,4,4,4
45,3,3,3,,,,,,,3,3,3
46,4,4,4,3,3,3,3,,,4,4,4
47,4,4,4,4,4,4,4,,,4,4,4
48,4,4,4,4,4,4,4,,,4,4,4
49,4,4,4,4,4,4,4,,,4,4,4
50,4,4,4,4,4,4,4,,,4,4,4
51,4,4,4,4,4,4,4,,,4,4,4
52,4,4,4,4,4,4,4,,,4,4,4
53,4,4,4,4,4,4,4,,,4,4,4
54,4,4,4,4,4,4,4,,,4,4,4
55,4,4,4,4,4,4,4,,,4,4,4
56,4,4,,4,4,4,4,,,,4,4
57,4,4,,4,4,4,4,,,,4,4
58,,,,4,4,4,4,,,,,
