z6,067,A,2,,A
z6,067,C,2,,W
z6,067,A,2,,A
x6,067,A,4,,W
x6,067,A,4,,W
x6,067,A,4,,A
x5,067,C,3,,A
x5,067,A,3,,A
x5,067,A,3,,A
x5,067,A,3,,A
f9,067,A,4,,W
f9,067,A,4,,W
d2,067,C,2,,A
d2,067,A,2,,W
d2,067,A,2,,W
k1,067,C,2,,W
z0,067,C,1,,A
z0,067,C,1,,A
z0,067,A,1,,W
p3,067,A,4,,A
p3,067,A,4,,A
y8,067,A,3,,W
y8,067,A,3,,W
y8,067,A,3,,W
e4,067,A,4,,W
c0,067,A,4,,A
c0,067,A,4,,W
r6,067,C,2,,W
r6,067,A,2,,A
r6,067,A,2,,W
r6,067,A,2,,A
d0,067,A,2,,A
d0,067,A,2,,A
d0,067,A,2,,W
w7,067,A,1,,W
w7,067,A,1,,W
w7,067,A,1,,W
v8,067,A,1,,W
v8,067,A,1,,A
v8,067,A,1,,A
i0,067,A,1,,W
j7,067,A,3,,A
j7,067,A,3,,W
q1,067,A,1,,W
q1,067,A,1,,W
y3,067,C,1,,W
a4,067,A,1,,W
a4,067,A,1,,W
i9,067,A,4,,A
f3,067,A,2,,A
f3,067,A,2,,A
t4,067,A,3,,W
m4,067,C,3,,W
m4,067,A,3,,W
c5,067,A,4,,A
c5,067,A,4,,W
c5,067,A,4,,W
c5,067,A,4,,W
s3,067,C,3,,A
s3,067,A,3,,A
r9,067,A,2,,W
r9,067,A,2,,A
r9,067,A,2,,A
n8,067,A,1,,A
n8,067,C,1,,A
n8,067,A,1,,A
n8,067,A,1,,A
t8,067,A,1,,A
g7,067,A,4,,W
g7,067,A,4,,A
b6,067,A,1,,A
b6,067,A,1,,A
b6,067,C,1,,W
b6,067,A,1,,A
v7,067,C,1,,W
v7,067,A,1,,W
f9,067,A,4,,W
f9,067,A,4,,A
f9,067,A,4,,W
f9,067,C,4,,A
s1,067,C,3,,A
s1,067,A,3,,W
s1,067,A,3,,W
o7,067,A,3,,W
d3,067,C,1,,W
d3,067,C,1,,W
d3,067,C,1,,W
d3,067,A,1,,W
v7,067,C,4,,A
v7,067,A,4,,A
v7,067,C,4,,W
v7,067,C,4,,A
s8,067,A,4,,A
z6,067,A,2,,A
z6,067,A,2,,A
g1,067,C,3,,A
g1,067,A,3,,A
g1,067,C,3,,W
g1,067,A,3,,A
l4,067,A,3,,W
l4,067,C,3,,A
l4,067,C,3,,W
l4,067,A,3,,W
i7,067,A,2,,A
i7,067,A,2,,W
h1,067,C,3,,W
o4,067,C,4,,A
a4,067,C,2,,A
a4,067,C,2,,W
a4,067,A,2,,A
h3,067,A,1,,A
h3,067,A,1,,W
n0,067,C,3,,W
w0,067,C,4,,A
w0,067,A,4,,A
w0,067,A,4,,W
w0,067,A,4,,W
g4,067,C,2,,A
g4,067,A,2,,A
g4,067,C,2,,W
p5,067,C,2,,A
p5,067,A,2,,A
p5,067,A,2,,W
p5,067,C,2,,W
b7,067,A,1,,A
b7,067,A,1,,W
x7,067,C,4,,W
x7,067,A,4,,W
x7,067,A,4,,A
x7,067,A,4,,A
b8,067,A,2,,W
b8,067,C,2,,W
b8,067,A,2,,W
b8,067,A,2,,A
d7,067,A,3,,W
d7,067,C,3,,W
p6,067,C,2,,W
p6,067,A,2,,W
a9,067,A,3,,A
a9,067,C,3,,A
a9,067,C,3,,W
a9,067,C,3,,W
a2,067,A,1,,A
a2,067,A,1,,A
s6,067,C,2,,W
s6,067,A,2,,W
u5,067,A,3,,A
s3,067,C,1,,A
f3,067,A,1,,A
f3,067,C,1,,W
q1,067,A,1,,A
q1,067,C,1,,A
q1,067,A,1,,A
v6,067,A,3,,A
q5,067,A,2,,A
z0,067,A,4,,W
z0,067,A,4,,W
z0,067,A,4,,W
w0,067,A,2,,W
d6,067,C,2,,A
d6,067,A,2,,W
u9,067,A,2,,W
u9,067,C,2,,W
f3,067,A,1,,W
f3,067,A,1,,A
f3,067,C,1,,W
n3,067,A,2,,A
n3,067,A,2,,A
n3,067,A,2,,W
n3,067,A,2,,A
j0,067,A,2,,W
j0,067,A,2,,A
j0,067,A,2,,W
i5,067,A,4,,A
x4,067,C,3,,W
x4,067,C,3,,W
n4,067,A,2,,A
x0,067,A,3,,A
r6,067,A,1,,W
f3,067,A,4,,W
f3,067,C,4,,W
f3,067,A,4,,W
j1,067,A,4,,W
j1,067,C,4,,W
j1,067,A,4,,A
g4,067,A,4,,W
z8,067,A,2,,A
z8,067,C,2,,A
z8,067,C,2,,A
z8,067,A,2,,W
y6,067,A,3,,W
y6,067,A,3,,A
y6,067,C,3,,A
y6,067,C,3,,A
y4,067,A,2,,A
y4,067,A,2,,A
z0,067,A,1,,W
s9,067,A,2,,A
s9,067,A,2,,A
s9,067,A,2,,W
w7,067,A,4,,A
w7,067,A,4,,A
y7,067,C,2,,W
y7,067,C,2,,A
y7,067,A,2,,A
t2,067,A,2,,W
t2,067,A,2,,W
t2,067,A,2,,W
m4,067,A,2,,W
m4,067,A,2,,A
s0,067,C,3,,A
s0,067,C,3,,W
s0,067,A,3,,A
h2,067,C,4,,A
y1,067,A,2,,W
y1,067,A,2,,W
y1,067,C,2,,W
y1,067,A,2,,A
b2,067,A,2,,A
b2,067,A,2,,A
b2,067,C,2,,A
f6,067,A,4,,W
f6,067,C,4,,W
f6,067,A,4,,A
e8,067,A,1,,A
e8,067,A,1,,A
e8,067,C,1,,W
n8,067,A,1,,W
n8,067,A,1,,W
i0,067,A,1,,A
i0,067,C,1,,A
i0,067,A,1,,A
n8,067,A,2,,A
n8,067,C,2,,W
n8,067,C,2,,W
n8,067,A,2,,A
a4,067,A,3,,W
a4,067,C,3,,A
a4,067,A,3,,W
a4,067,C,3,,A
u1,067,C,2,,A
v2,067,A,1,,A
v2,067,A,1,,A
v2,067,A,1,,A
v2,067,A,1,,W
w6,067,A,2,,A
h1,067,A,4,,W
h1,067,A,4,,A
t9,067,A,2,,W
t9,067,A,2,,A
t9,067,A,2,,A
t9,067,A,2,,A
b4,067,C,4,,W
b4,067,A,4,,A
t7,067,A,1,,W
t7,067,A,1,,W
r3,067,C,2,,W
l8,067,A,1,,W
u1,067,C,1,,A
u1,067,C,1,,A
n7,067,C,4,,W
n7,067,A,4,,W
n7,067,A,4,,W
f2,067,A,1,,A
f2,067,A,1,,A
f2,067,A,1,,A
f8,067,C,4,,A
f8,067,C,4,,W
u2,067,A,4,,W
u2,067,A,4,,A
j0,067,C,2,,W
o3,067,C,3,,W
o3,067,A,3,,W
o3,067,C,3,,W
o3,067,A,3,,A
d4,067,A,2,,A
d4,067,A,2,,A
y1,067,A,2,,W
y1,067,A,2,,A
y7,067,A,3,,A
y7,067,A,3,,A
y7,067,A,3,,W
y7,067,A,3,,A
b3,067,C,4,,A
b3,067,A,4,,A
b3,067,A,4,,W
b3,067,C,4,,A
w6,067,C,4,,W
w6,067,C,4,,W
x2,067,C,1,,W
b1,067,C,1,,W
b1,067,A,1,,A
b1,067,C,1,,W
w8,067,C,1,,W
w8,067,A,1,,W
w8,067,A,1,,W
s8,067,A,4,,A
s8,067,A,4,,A
e4,067,A,3,,W
e4,067,A,3,,W
e4,067,A,3,,W
